User_ID,Age_Group,Gender,Lit,Trust_Norm,Q1_Supplier,Q2_Paint,Q3_Machine,Q4_Flight,Q5_Lunch,Q6_Spa,Q7_Server,Q8_Post,Q9_Bridge,Q10_Stock,Q11_Vaccine,Q12_Tower,Q13_News,Q14_Embezzlement,Q15_Airbag,Q16_Hostage
10,Dưới 18,Nữ,0.5,0.25,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
11,Từ 35 đến 50,Nữ,0.5,0.5,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
12,Từ 18 đến 24,Nữ,0.5,0.5,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người
13,Từ 18 đến 24,Nam,0.5,0.75,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI
14,Từ 18 đến 24,Nữ,0.5,0.25,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
15,Từ 18 đến 24,Nam,0.5,0.75,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
16,Từ 18 đến 24,Nam,0.75,0.625,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
17,Từ 18 đến 24,Nữ,0.75,0.625,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI
18,Từ 18 đến 24,Nữ,0.5,0.25,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người
19,Từ 18 đến 24,Nữ,0.5,0.75,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
20,Từ 18 đến 24,Nữ,0.75,0.375,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
21,Từ 18 đến 24,Nữ,0.25,0.375,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
22,Từ 18 đến 24,Nam,0.5,0.5,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
23,Từ 18 đến 24,Nam,0.5,0.5,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
24,Từ 18 đến 24,Nam,0.25,0.375,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
25,Từ 18 đến 24,Nam,0.25,0.25,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI
26,Từ 18 đến 24,Nữ,0.75,0.625,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI
27,Từ 18 đến 24,Nam,0.5,0.75,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
28,Từ 18 đến 24,Nữ,0.5,0.625,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
29,Dưới 18,Nữ,0.5,0.75,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
30,Từ 18 đến 24,Nữ,0.5,0.625,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
31,Từ 18 đến 24,Nữ,0.5,0.875,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
32,Dưới 18,Nữ,0.5,0.5,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
33,Từ 25 đến 34,Nam,0.75,0.5,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI
34,Từ 35 đến 50,Nam,0.5,1.0,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người
35,Từ 18 đến 24,Nữ,0.25,0.25,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
36,Từ 18 đến 24,Nam,0.5,1.0,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI
37,Dưới 18,Nam,0.25,0.5,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
38,Từ 18 đến 24,Nữ,0.5,0.5,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
39,Từ 18 đến 24,Nam,1.0,0.75,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
40,Từ 18 đến 24,Nữ,0.5,0.75,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
41,Từ 18 đến 24,Nữ,0.0,0.375,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
42,Dưới 18,Nữ,0.5,0.625,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
43,Từ 18 đến 24,Nam,0.5,0.5,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
44,Từ 18 đến 24,Nam,0.75,0.625,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
45,Từ 18 đến 24,Nữ,0.5,0.75,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
46,Từ 18 đến 24,Nam,0.5,0.75,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
47,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
48,Từ 18 đến 24,Nữ,,,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI
49,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
50,Từ 35 đến 50,Nam,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người
51,Từ 18 đến 24,Nam,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
52,Từ 25 đến 34,Nữ,,,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người
53,Từ 18 đến 24,Nam,,,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người
54,Từ 18 đến 24,Nam,,,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
55,Từ 25 đến 34,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI
56,Dưới 18,Nữ,,,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
57,Từ 18 đến 24,Nữ,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI
58,Dưới 18,Nữ,,,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI
59,Từ 18 đến 24,Nam,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
60,Từ 18 đến 24,Nữ,,,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
61,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người
62,Từ 18 đến 24,Nam,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người
63,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
64,Từ 18 đến 24,Nữ,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI
65,Từ 18 đến 24,Nữ,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
66,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI
67,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
68,Dưới 18,Nam,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người
69,Trên 50,Nam,,,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người
70,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI
71,Từ 18 đến 24,Nữ,,,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên AI,Lời khuyên Con người,Lời khuyên AI,Lời khuyên Con người
